Job Title,Company,Location (Specific),Experience Required (Standardized),Combined Skills,Industry (Inferred),Job Type,Posted Date,Source Platform,Notes/Observations,
Junior Data Scientist,Quantela Inc.,Hyderabad Telangana India,Fresher (0-1 Year),"problem-solving skills, ability to analyze large datasets, develop predictive models, design,implement algorithms, machine learning algorithms, statistical modeling, data mining techniques, data visualization, communication skills, collaborate with cross-functional teams, understand business needs, deliver actionable insights, develop,deploy data-driven solutions., python, r, sql, tableau, power bi.","Smart City Solutions, IoT, AI","Full-time, On-site",20-11-2024,Naukri.com,This role is explicitly for a Junior Data Scientist with 0-1 year of experience. It focuses on developing predictive models and algorithms for smart city solutions.,
Research Analyst - Power & Renewables,CRISIL,Gurugram Haryana India,Fresher (0-1 Year),"secondary research, data collection, data analysis, report writing, presentation making, tracking policy and regulatory developments, understanding power sector (power generation, transmission, distribution, renewables, regulations, policy frameworks, market dynamics, emerging technologies), analytical skills, strong communication skills (written,  verbal), presentation skills, attention to detail, ability to work independently and as part of a team, proficiency in ms office suite (excel, powerpoint, word)., ms office suite (excel, powerpoint, word).","Financial Services, Ratings, Research (Power & Renewables)","Full-time, On-site",27-11-2024,Naukri.com,This position is explicitly for freshers with 0-1 year experience focusing on research and analysis within the power and renewables sector. It emphasizes secondary research data analysis and report writing.,
Analyst - Data & Insights (Risk),Moody's,Bengaluru Karnataka India,Fresher (0-1 Year),"supporting product strategy (defining,executing), conducting market research (industry trends, competitive landscape), gathering,analyzing data for product performance, identifying opportunities for product enhancement, collaborating with cross-functional teams, supporting product launches, creating product documentation,training materials, understanding risk-related data, strong analytical skills, problem-solving abilities, attention to detail, strong communication skills (written,verbal), ability to work independently and in a team, proficiency in ms office suite suite., ms office suite suite (word, excel, powerpoint).","Financial Services, Credit Ratings, Risk Management","Full-time, Hybrid",27-11-2024,Naukri.com,"This is a ""Junior Role"" suitable for freshers with 0-1 year experience focusing on product strategy and data analysis within the risk domain.",
Junior Data Engineer,IDP Education Ltd,Gurugram Haryana India,"Fresher (No specific years mentioned, implies entry-level)","data pipeline design and implementation, database management, data warehousing concepts, data modeling (relational,dimensional), sql queries, data manipulation, data transformation, performance optimization, data quality, data governance, troubleshooting, problem-solving, analytical skills, collaboration with data scientists,analysts, understanding business requirements., sql, python, cloud platforms (aws, azure, gcp), etl tools, data warehousing tools.","Education Management, EdTech","Full-time, Hybrid",05-12-2024,Naukri.com,"This job is titled ""Junior Data Engineer"" and seeks candidates with ""relevant experience"" but the responsibilities align with an entry-level role. Focuses on data pipelines and warehousing.",
Junior Data Analyst,IDP Education Ltd,Gurugram Haryana India,"Fresher (No specific years mentioned, implies entry-level)","data analysis, data interpretation, data visualization, report generation, dashboard creation, extracting insights, identifying trends, translating data into actionable recommendations, supporting business decisions, collaboration with stakeholders, understanding business requirements, data quality, problem-solving, attention to detail, communication skills., sql, excel, bi tools (tableau, power bi).","Education Management, EdTech","Full-time, Hybrid",05-12-2024,Naukri.com,"This is explicitly a ""Junior Data Analyst"" role likely suitable for freshers. It focuses on data analysis visualization and reporting for business insights.",
Data Analyst,InMobi,Bengaluru Karnataka India,Fresher (0-2 Years),"data analysis, sql queries, data manipulation, data cleaning, data validation, creating dashboards, generating reports, interpreting complex datasets, identifying trends, providing actionable insights, communicating findings to stakeholders, collaborating with cross-functional teams, analytical skills, problem-solving abilities, attention to detail., sql, excel, tableau, power bi.","Advertising, AdTech, Mobile Technology","Full-time, Hybrid",11-12-2024,Naukri.com,"This role explicitly states ""0-2 years of experience"" and ""Graduates"" are welcome making it a clear fresher opportunity. Focuses on data analysis reporting and dashboarding.",
Business Analyst,Quantela Inc.,Hyderabad Telangana India,Fresher (0-1 Year),"requirement gathering, process mapping, data analysis, functional documentation, stakeholder communication, solution design, user acceptance testing (uat) support, problem-solving, analytical thinking, presentation skills, collaboration with technical teams, understanding business needs., not explicitly mentioned (implies standard ba tools like visio, jira, ms office suite).","Smart City Solutions, IoT, AI","Full-time, On-site",20-11-2024,Naukri.com,This is explicitly for a Business Analyst with 0-1 year of experience focusing on requirements gathering and business process analysis for smart city solutions.,
Data Analyst,NTT DATA Business Solutions,Gurugram Haryana India,Fresher (0-1 Year),"data analysis, data cleaning, data transformation, data visualization, report generation, dashboard creation, interpreting business requirements, translating data into actionable insights, strong analytical skills, problem-solving abilities, attention to detail, communication skills, collaboration with cross-functional teams., excel, sql, power bi, tableau.","IT Services, Consulting","Full-time, On-site",12-12-2024,Naukri.com,"This role explicitly states ""0-1 year of experience"" making it a clear fresher opportunity for a data analyst.",
Junior Analyst,Accenture in India,Bengaluru Karnataka India,Fresher (0-1 Year),"problem solving, written communication, adaptability, active listening, teamwork, analytical skills, data analysis, sql, data visualization (tableau,power bi,qliksense)., sql, tableau, power bi, qliksense.","IT Services, Consulting","Full-time, On-site",18-12-2024,Naukri.com,"This is a ""Junior Analyst"" role explicitly stating ""0-1 years of experience."" It focuses on data analysis and visualization.",
Research Analyst,CRISIL,Gurugram Haryana India,Fresher (0-1 Year),"data collection (primary,  secondary), data analysis, market research, report writing, presentation making, understanding industry trends, analytical skills, attention to detail, communication skills (written,  verbal), proficiency in ms office suite., ms office suite (excel, powerpoint, word).","Financial Services, Ratings, Research","Full-time, On-site",19-12-2024,Naukri.com,"This role is for a ""Research Analyst"" with ""0-1 years of experience"" focusing on market research data collection and report writing.",
